id;name;uploading_time;is_actual
1;Расписание от 19 апреля 2023 года;2023-03-21T10:18:05;false
2;Расписание от 18 апреля 2023 года;2023-03-21T05:10:28;true
3;Расписание от 17 апреля 2023 года;2023-03-20T16:06:29;true
4;Расписание от 16 апреля 2023 года;2023-03-21T04:43:21;true
5;Расписание от 15 апреля 2023 года;2023-03-21T07:13:44;true
6;Расписание от 14 апреля 2023 года;2023-03-20T21:56:02;false
7;Расписание от 13 апреля 2023 года;2023-03-20T12:50:59;false
8;Расписание от 12 апреля 2023 года;2023-03-21T00:56:39;true
9;Расписание от 11 апреля 2023 года;2023-03-21T05:27:04;true
10;Расписание от 10 апреля 2023 года;2023-03-21T03:31:12;true
