id;publication_date;publication_time;content;access_modes_id;employee_id;title;image_url
1;2023-03-20;10:00;<p>Это новость, круто</p>;1;1;В ВГУ впервые прошли «Вьюновские чтения»;https://www.alt.ranepa.ru/resampled/news/2015/20150213-DSC_4508_sq900x600.jpg
2;2023-03-21;10:00;<p>Это новость, круто</p>;2;2;Новая учебная аудитория ФКН;https://www.cs.vsu.ru/wp-content/uploads/2022/05/DSC09126.jpg
3;2023-03-21;10:00;<p>Это новость, круто</p>;1;1;Изменения в расписании на 19 апреля 2023 года;https://infotanka.ru/img/timetable-before.png
4;2023-03-21;10:00;<p>Это новость, круто</p>;1;1;Студенты ФМО ВГУ и Гродненского университета обсудили международные проблемы;https://www.vsu.ru/ru/news/16364/images/79224/thumbnail
5;2023-03-21;10:00;<p>Это новость, круто</p>;1;2;Как писать научные тексты? Ликбез;https://www.vsu.ru/ru/news/16354/images/79176/thumbnail
6;2023-03-21;10:00;<p>Это новость, круто</p>;1;1;В ВГУ — выставка «Китайский дракон» чешского фотографа;https://www.vsu.ru/ru/news/16353/images/79169/thumbnail
7;2023-03-21;10:00;<p>Это новость, круто</p>;2;2;ВГУ занял 15 место в «Глобальном сводном рейтинге классических вузов России 2023»;https://www.vsu.ru/ru/news/16351/images/79162/thumbnail
8;2023-03-21;10:00;<p>Это новость, круто</p>;3;1;В Кольцовской гимназии открылась выставка ректора ВГУ;https://www.vsu.ru/ru/news/16334/images/79063/thumbnail
9;2023-03-21;10:00;<p>Это новость, круто</p>;2;1;Центр карьеры ВГУ – соорганизатор Всероссийской ярмарки трудоустройства в регионе;https://www.vsu.ru/ru/news/16337/images/79080/thumbnail
10;2023-03-21;10:00;<p>Это новость, круто</p>;1;1;Учёные ФКН выиграли грант на изучение взаимной адаптации пользователей и интерфейсов «человек-компьютер»;https://www.vsu.ru/ru/news/16302/images/78886/thumbnail
